Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage
-0.0992,0.031,-0.0992,0.165375,-0.0992,0.71875
-0.1984,0.031,-0.1984,0.165375,-0.1984,0.71875
-0.2976,-0.000249982,-0.2976,0.14975,-0.2976,0.75
-0.3968,-0.000249982,-0.3968,0.134125,-0.3968,0.71875
-0.496,-0.000249982,-0.496,0.1185,-0.496,0.71875
-0.5952,-0.015875,-0.5952,0.102875,-0.5952,0.71875
-0.6943999999999999,-0.0315,-0.6943999999999999,0.102875,-0.6943999999999999,0.71875
-0.7936,-0.06275,-0.7936,0.08725,-0.7936,0.71875
-0.8927999999999999,-0.047125,-0.8927999999999999,0.071625,-0.8927999999999999,0.71875
-0.9919999999999999,-0.06275,-0.9919999999999999,0.056,-0.9919999999999999,0.71875
-1.0912,-0.109625,-1.0912,0.040375,-1.0912,0.71875
-1.1904,-0.109625,-1.1904,0.009125,-1.1904,0.71875
-1.2895999999999999,-0.12525,-1.2895999999999999,0.009125,-1.2895999999999999,0.71875
-1.3887999999999998,-0.12525,-1.3887999999999998,-0.0065,-1.3887999999999998,0.71875
-1.488,-0.12525,-1.488,-0.03775,-1.488,0.75
-1.5872,-0.109625,-1.5872,-0.084625,-1.5872,0.71875
-1.6864,-0.12525,-1.6864,-0.069,-1.6864,0.75
-1.7855999999999999,-0.1565,-1.7855999999999999,-0.084625,-1.7855999999999999,0.71875
-1.8847999999999998,-0.172125,-1.8847999999999998,-0.115875,-1.8847999999999998,0.71875
-1.984,-0.172125,-1.984,-0.147125,-1.984,0.71875
-2.0832,-0.18775,-2.0832,-0.16275,-2.0832,0.71875
-2.1824,-0.18775,-2.1824,-0.209625,-2.1824,0.75
-2.2816,-0.172125,-2.2816,-0.194,-2.2816,0.71875
-2.3808000000000002,-0.203375,-2.3808000000000002,-0.459625,-2.3808000000000002,0.78125
-2.48,-0.219,-2.48,-0.459625,-2.48,0.71875
-2.5792,-0.234625,-2.5792,-0.428375,-2.5792,0.71875
-2.6784,-0.219,-2.6784,-0.397125,-2.6784,0.75
-2.7776,-0.219,-2.7776,-0.35025,-2.7776,0.71875
-2.8768000000000002,-0.234625,-2.8768000000000002,-0.334625,-2.8768000000000002,0.75
-2.976,-0.234625,-2.976,-0.303375,-2.976,0.75
-3.0752,-0.234625,-3.0752,-0.303375,-3.0752,0.75
-3.1744,-0.25025,-3.1744,-0.28775,-3.1744,0.71875
-3.2736,-0.265875,-3.2736,-0.2565,-3.2736,0.71875
-3.3728000000000002,-0.25025,-3.3728000000000002,-0.209625,-3.3728000000000002,0.75
-3.472,-0.234625,-3.472,-0.194,-3.472,0.75
-3.5712,-0.2815,-3.5712,-0.178375,-3.5712,0.71875
-3.6704,-0.265875,-3.6704,-0.1315,-3.6704,0.75
-3.7696,-0.25025,-3.7696,-0.115875,-3.7696,0.71875
-3.8688000000000002,-0.25025,-3.8688000000000002,-0.115875,-3.8688000000000002,0.75
-3.968,-0.2815,-3.968,-0.069,-3.968,0.71875
-4.0672,-0.25025,-4.0672,-0.053375,-4.0672,0.75
-4.166399999999999,-0.265875,-4.166399999999999,-0.022125,-4.166399999999999,0.75
-4.265599999999999,-0.25025,-4.265599999999999,-0.022125,-4.265599999999999,0.71875
-4.3648,-0.25025,-4.3648,0.02475,-4.3648,0.75
-4.4639999999999995,-0.25025,-4.4639999999999995,0.040375,-4.4639999999999995,0.75
-4.563199999999999,-0.25025,-4.563199999999999,0.056,-4.563199999999999,0.71875
-4.6624,-0.25025,-4.6624,0.08725,-4.6624,0.71875
-4.7616,-0.219,-4.7616,0.102875,-4.7616,0.75
-4.860799999999999,-0.234625,-4.860799999999999,0.102875,-4.860799999999999,0.75
-4.96,-0.234625,-4.96,0.134125,-4.96,0.71875
-5.0592,-0.219,-5.0592,0.165375,-5.0592,0.71875
-5.158399999999999,-0.203375,-5.158399999999999,0.165375,-5.158399999999999,0.75
-5.257599999999999,-0.203375,-5.257599999999999,0.196625,-5.257599999999999,0.71875
-5.3568,-0.203375,-5.3568,0.21225,-5.3568,0.71875
-5.4559999999999995,-0.172125,-5.4559999999999995,0.21225,-5.4559999999999995,0.75
-5.555199999999999,-0.172125,-5.555199999999999,0.21225,-5.555199999999999,0.75
-5.6544,-0.18775,-5.6544,0.227875,-5.6544,0.75
-5.7536,-0.1565,-5.7536,0.227875,-5.7536,0.71875
-5.852799999999999,-0.1565,-5.852799999999999,0.227875,-5.852799999999999,0.71875
-5.952,-0.172125,-5.952,0.259125,-5.952,0.71875
-6.0512,-0.140875,-6.0512,0.259125,-6.0512,0.71875
-6.150399999999999,-0.140875,-6.150399999999999,0.259125,-6.150399999999999,0.71875
-6.249599999999999,-0.12525,-6.249599999999999,0.259125,-6.249599999999999,0.71875
-6.3488,-0.140875,-6.3488,0.259125,-6.3488,0.71875
-6.4479999999999995,-0.094,-6.4479999999999995,0.259125,-6.4479999999999995,0.75
-6.547199999999999,-0.078375,-6.547199999999999,0.259125,-6.547199999999999,0.71875
-6.6464,-0.094,-6.6464,0.2435,-6.6464,0.71875
