Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage
-0.02465,0.75,-0.02465,0.0
-0.0493,0.8125,-0.0493,0.0
-0.07394999999999999,0.875,-0.07394999999999999,0.003125
-0.0986,0.75,-0.0986,0.0
-0.12324999999999997,0.8125,-0.12324999999999997,0.003125
-0.14789999999999998,0.75,-0.14789999999999998,-0.003125
-0.17254999999999998,0.75,-0.17254999999999998,-0.003125
-0.19719999999999996,0.875,-0.19719999999999996,0.0
-0.22184999999999996,0.8125,-0.22184999999999996,0.0
-0.24649999999999997,0.8125,-0.24649999999999997,0.0
-0.27114999999999995,0.75,-0.27114999999999995,0.0
-0.29579999999999995,0.8125,-0.29579999999999995,-0.003125
-0.32044999999999996,0.8125,-0.32044999999999996,0.0
-0.34509999999999996,0.75,-0.34509999999999996,0.0
-0.3697499999999999,0.875,-0.3697499999999999,0.0
-0.3943999999999999,0.8125,-0.3943999999999999,0.003125
-0.4190499999999999,0.8125,-0.4190499999999999,0.0
-0.44369999999999993,0.75,-0.44369999999999993,0.003125
-0.46834999999999993,0.8125,-0.46834999999999993,0.0
-0.4929999999999999,0.8125,-0.4929999999999999,0.0
-0.5176499999999998,0.8125,-0.5176499999999998,0.003125
-0.5422999999999999,0.875,-0.5422999999999999,0.0
-0.5669499999999998,0.8125,-0.5669499999999998,0.003125
-0.5915999999999998,0.8125,-0.5915999999999998,0.0
-0.6162499999999999,0.8125,-0.6162499999999999,0.0
-0.6408999999999998,0.8125,-0.6408999999999998,0.0
-0.6655499999999999,0.75,-0.6655499999999999,0.0
-0.6901999999999998,0.75,-0.6901999999999998,-0.003125
-0.7148499999999998,0.8125,-0.7148499999999998,0.003125
-0.7394999999999998,0.8125,-0.7394999999999998,0.0
-0.7641499999999998,0.8125,-0.7641499999999998,0.003125
-0.7887999999999998,0.875,-0.7887999999999998,0.0
-0.8134499999999998,0.8125,-0.8134499999999998,0.0
-0.8380999999999997,0.8125,-0.8380999999999997,0.0
-0.8627499999999998,0.8125,-0.8627499999999998,0.0
-0.8873999999999997,0.8125,-0.8873999999999997,0.0
-0.9120499999999998,0.8125,-0.9120499999999998,0.0
-0.9366999999999998,0.75,-0.9366999999999998,0.0
-0.9613499999999997,0.8125,-0.9613499999999997,0.0
-0.9859999999999998,0.6875,-0.9859999999999998,0.003125
-1.0106499999999998,0.8125,-1.0106499999999998,0.0
