Angle,Voltage,Voltage_std
0,0.1497434934934935,0.0019706512055362797
1,0.1504129129129129,0.001898106288094621
2,0.1508477227227227,0.0020201702358900817
3,0.15175487987987984,0.002026157916226446
4,0.15218968968968968,0.002072771438253398
5,0.15176113613613615,0.002059059302374801
6,0.15207394894894896,0.0020092666071716593
7,0.15208646146146146,0.0019864524937123623
8,0.15201764264264261,0.0019787926353504455
9,0.1523586086086086,0.002061908686969281
10,0.15200825825825826,0.002020020074273981
11,0.15147022022022022,0.0020331774054207588
12,0.15144206706706703,0.001997740279097675
13,0.15093218218218216,0.001909783067316042
14,0.14947134634634632,0.0018717919941685817
15,0.1494181681681682,0.0018638341867299698
16,0.14878315815815815,0.0018002261872710154
17,0.14646521521521524,0.0018064445661850356
18,0.14569882382382385,0.0017973866004798746
19,0.14427552552552556,0.001734461719541734
20,0.14298360860860862,0.0018201727926108878
21,0.14235485485485486,0.0018093186114644733
22,0.13990553053053054,0.001726834394446857
23,0.13851038538538538,0.0017254738875924428
24,0.14034346846846846,0.0019015365755369624
25,0.1391234984984985,0.001704964707083443
26,0.13802865365365366,0.0016964609172651069
27,0.13627690190190186,0.001833686189463136
28,0.13439689689689688,0.0017657500541226156
29,0.1325481731731732,0.001742488107806442
30,0.13135322822822823,0.001734918631123831
31,0.12916666666666668,0.0018497000135535926
32,0.12646709209209211,0.0018832682301664482
33,0.12431493993993993,0.00182573915712685
34,0.12275400400400398,0.001822976886499854
35,0.12006694194194191,0.0019058747968778034
36,0.11739239239239238,0.001783664034949333
37,0.11497434934934936,0.0018568016289755998
38,0.1131193693693694,0.0018251119791506344
39,0.1107857857857858,0.0017390985803082566
40,0.10794857357357356,0.001773772776373725
41,0.10512074574574572,0.0018458606721636558
42,0.1027027027027027,0.0018882911179287844
43,0.10021896896896898,0.001909752324774081
44,0.09750062562562564,0.0017905138714648082
45,0.09488551051051052,0.001793620769590035
46,0.09216091091091089,0.0018060545130131182
47,0.09008070570570569,0.0017455459484458202
48,0.08713713713713714,0.0018191403144606235
49,0.0840528028028028,0.0018976474166372468
50,0.08165352852852853,0.0018078523908782338
51,0.0793480980980981,0.0019373747849716215
52,0.07620432932932932,0.0018879542557812623
53,0.0732107107107107,0.0018136454187907016
54,0.07115865865865867,0.0017139344865036747
55,0.06907219719719719,0.0019027917696560525
56,0.06642580080080081,0.001963517828190258
57,0.06333521021021021,0.0019060236835196987
58,0.06105793293293293,0.0019178512481202571
59,0.058661786786786775,0.0019119747600501032
60,0.05630943443443444,0.001918800015362312
61,0.05369431931931932,0.0019395857495911738
62,0.0514670920920921,0.001939525208798041
63,0.04910535535535536,0.0018658071538034241
64,0.046968843843843845,0.001566714471074266
65,0.04479479479479479,0.0017805837276983862
66,0.04229854854854855,0.0018190273516089006
67,0.040471721721721726,0.001673797026262074
68,0.037853478478478475,0.001844985774957922
69,0.03548235735735736,0.001824581121707969
70,0.03338025525525525,0.0017429709859225083
71,0.03114677177177177,0.0018281975468297184
72,0.029097847847847854,0.001654960125165788
73,0.027471221221221226,0.0017611055768928425
74,0.025300300300300307,0.0016027253783940838
75,0.023598598598598603,0.0017213006460092886
76,0.021774899899899898,0.0016335359437948283
77,0.019769769769769765,0.0020253222526981527
78,0.0179054054054054,0.002076346738044346
79,0.01641328828828829,0.002056015606250623
80,0.015130755755755758,0.002023857802517067
81,0.013507257257257259,0.0018660431404141679
82,0.011977602602602602,0.0017826433464195152
83,0.010701326326326326,0.0018967809297631428
84,0.00969094094094094,0.0018623110556465854
85,0.00855543043043043,0.0019706958941506265
86,0.007216591591591592,0.0019858563630998673
87,0.005940315315315316,0.00195551296508929
88,0.005267767767767768,0.0020245684106424988
89,0.004323073073073074,0.002157474301359507
90,0.0033783783783783786,0.0020983701723845884
91,0.002461836836836837,0.002014174471888573
92,0.002045795795795796,0.002040321421699579
93,0.0014514514514514514,0.002051389125138898
94,0.0008226976976976978,0.0020013958354095527
95,0.0004066566566566567,0.001965221445171458
96,8.445945945945946e-05,0.0019431794962542117
97,-0.0001564064064064064,0.0020632892214642157
98,-0.00016891891891891893,0.0019948384804277836
99,-0.00026901901901901906,0.001978886588657725
100,-0.0003847597597597598,0.0020016256137049666
101,-0.00031281281281281286,0.00189664163602181
102,0.00012512512512512512,0.0018976938244117702
103,0.00022522522522522526,0.001999072125684317
104,0.000606856856856857,0.0018923494701158076
105,0.0008664914914914915,0.001942988131862425
106,0.0013795045045045045,0.002041443354761633
107,0.0021584084084084083,0.0020631137408482956
108,0.0028153153153153156,0.0021186689651428643
109,0.00376001001001001,0.0021245678827913426
110,0.004554554554554556,0.0020878843449325902
111,0.005324074074074075,0.001997813749651557
112,0.006437687687687688,0.0019684850753944284
113,0.007526276276276277,0.001975853105177859
114,0.008933933933933933,0.0019097625723430549
115,0.010116366366366364,0.0018935074016729115
