Channel 1 Time,Channel 1 Voltage,Channel 2 Time,Channel 2 Voltage,Channel 3 Time,Channel 3 Voltage,Channel 4 Time,Channel 4 Voltage
-0.0496,0.14375,-0.0496,-0.001,-0.0496,-0.39425,-0.0496,-0.01875
-0.0992,0.175,-0.0992,0.001125,-0.0992,-0.39425,-0.0992,-0.011875
-0.1488,0.175,-0.1488,-0.002625,-0.1488,-0.39425,-0.1488,-0.000625
-0.1984,0.20625,-0.1984,-0.002375,-0.1984,-0.39425,-0.1984,-0.01375
-0.248,0.26875,-0.248,0.000375,-0.248,-0.363,-0.248,-0.01625
-0.2976,0.26875,-0.2976,-0.002625,-0.2976,-0.363,-0.2976,-0.006875
-0.34719999999999995,0.26875,-0.34719999999999995,0.000625,-0.34719999999999995,-0.39425,-0.34719999999999995,-0.01625
-0.3968,0.33125,-0.3968,0.00025,-0.3968,-0.363,-0.3968,-0.025625
-0.44639999999999996,0.3625,-0.44639999999999996,-0.001625,-0.44639999999999996,-0.363,-0.44639999999999996,-0.010625
-0.49599999999999994,0.3625,-0.49599999999999994,0.001125,-0.49599999999999994,-0.33175,-0.49599999999999994,-0.025625
-0.5456,0.33125,-0.5456,-0.001375,-0.5456,-0.363,-0.5456,-0.020625
-0.5952,0.3625,-0.5952,-0.000625,-0.5952,-0.363,-0.5952,-0.01625
-0.6447999999999999,0.39375,-0.6447999999999999,-0.001625,-0.6447999999999999,-0.363,-0.6447999999999999,-0.015625
-0.6943999999999999,0.3625,-0.6943999999999999,-0.00225,-0.6943999999999999,-0.39425,-0.6943999999999999,-0.015625
-0.744,0.39375,-0.744,-0.002125,-0.744,-0.39425,-0.744,-0.015625
-0.7936,0.425,-0.7936,-0.002625,-0.7936,-0.363,-0.7936,-0.009375
-0.8432,0.45625,-0.8432,-0.002,-0.8432,-0.39425,-0.8432,-0.013125
-0.8927999999999999,0.425,-0.8927999999999999,-0.004375,-0.8927999999999999,-0.39425,-0.8927999999999999,-0.014375
-0.9423999999999999,0.4875,-0.9423999999999999,-0.002625,-0.9423999999999999,-0.39425,-0.9423999999999999,-0.01875
-0.992,0.45625,-0.992,-0.001375,-0.992,-0.33175,-0.992,-0.02125
-1.0416,0.4875,-1.0416,-0.002875,-1.0416,-0.363,-1.0416,-0.019375
-1.0912,0.4875,-1.0912,-0.001125,-1.0912,-0.39425,-1.0912,-0.02375
-1.1408,0.4875,-1.1408,-0.001375,-1.1408,-0.363,-1.1408,-0.015625
-1.1904000000000001,0.51875,-1.1904000000000001,-0.0025,-1.1904000000000001,-0.363,-1.1904000000000001,-0.019375
-1.24,0.51875,-1.24,-0.003,-1.24,-0.39425,-1.24,-0.02375
-1.2896,0.55,-1.2896,-0.003,-1.2896,-0.363,-1.2896,-0.023125
-1.3392,0.58125,-1.3392,-0.005625,-1.3392,-0.363,-1.3392,-0.025
-1.3888,0.55,-1.3888,-0.00225,-1.3888,-0.39425,-1.3888,-0.026875
-1.4384000000000001,0.55,-1.4384000000000001,-0.0055,-1.4384000000000001,-0.363,-1.4384000000000001,-0.020625
-1.488,0.6125,-1.488,0.002875,-1.488,-0.363,-1.488,-0.01875
-1.5376,0.58125,-1.5376,-0.006125,-1.5376,-0.363,-1.5376,-0.025
-1.5872,0.64375,-1.5872,-0.00525,-1.5872,-0.39425,-1.5872,-0.020625
-1.6368,0.64375,-1.6368,-0.005125,-1.6368,-0.363,-1.6368,-0.020625
-1.6864000000000001,0.6125,-1.6864000000000001,-0.004875,-1.6864000000000001,-0.39425,-1.6864000000000001,-0.020625
