Root Name,Title,Author,Date/Time,Groups,Description,,,,,,,,
FEB-22-2021,,,,23,,,,,,,,,
,,,,,,,,,,,,,
Group,Channels,Description,,,,,,,,,,,
QPD_CAL_150_2_10,5,,,,,,,,,,,,
QPD_CAL_200_2_10,5,,,,,,,,,,,,
QPD_CAL_250_2_10,5,,,,,,,,,,,,
QPD_CAL_300_2_10,5,,,,,,,,,,,,
QPD_CAL_100_2_10,5,,,,,,,,,,,,
QPD_CAL_100_2_10 #1,5,,,,,,,,,,,,
QPD_CAL_X_100_2_10,5,,,,,,,,,,,,
QPD_CAL_X_150_2_10,5,,,,,,,,,,,,
QPD_CAL_X_200_2_10,5,,,,,,,,,,,,
QPD_CAL_X_250_2_10,5,,,,,,,,,,,,
QPD_CAL_X_300_2_10,5,,,,,,,,,,,,
TRP_free_100,5,,,,,,,,,,,,
TRP_free_100 #1,5,,,,,,,,,,,,
TRP_free_100 #2,5,,,,,,,,,,,,
TRP_free_150,5,,,,,,,,,,,,
TRP_free_150 #1,5,,,,,,,,,,,,
TRP_free_150 #2,5,,,,,,,,,,,,
TRP_free_150 #3,5,,,,,,,,,,,,
TRP_free_200,5,,,,,,,,,,,,
TRP_free_200 #1,5,,,,,,,,,,,,
TRP_free_250,5,,,,,,,,,,,,
TRP_free_250 #1,5,,,,,,,,,,,,
TRP_free_300,5,,,,,,,,,,,,
,,,,,,,,,,,,,
QPD_CAL_150_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 04:17:26.774 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 04:17:26.774 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 04:17:26.774 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 04:17:26.774 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 04:17:26.774 PM,
,,,,,,,,,,,,,
QPD_CAL_200_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 04:22:38.716 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 04:22:38.716 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 04:22:38.716 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 04:22:38.716 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 04:22:38.716 PM,
,,,,,,,,,,,,,
QPD_CAL_250_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 04:23:01.528 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 04:23:01.528 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 04:23:01.528 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 04:23:01.528 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 04:23:01.528 PM,
,,,,,,,,,,,,,
QPD_CAL_300_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 04:23:36.531 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 04:23:36.531 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 04:23:36.531 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 04:23:36.531 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 04:23:36.531 PM,
,,,,,,,,,,,,,
QPD_CAL_100_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 04:23:53.304 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 04:23:53.304 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 04:23:53.304 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 04:23:53.304 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 04:23:53.304 PM,
,,,,,,,,,,,,,
QPD_CAL_100_2_10 #1,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 04:23:58.387 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 04:23:58.387 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 04:23:58.387 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 04:23:58.387 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 04:23:58.387 PM,
,,,,,,,,,,,,,
QPD_CAL_X_100_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 05:15:09.437 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 05:15:09.437 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 05:15:09.437 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 05:15:09.437 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 05:15:09.437 PM,
,,,,,,,,,,,,,
QPD_CAL_X_150_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 05:15:25.247 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 05:15:25.247 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 05:15:25.247 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 05:15:25.247 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 05:15:25.247 PM,
,,,,,,,,,,,,,
QPD_CAL_X_200_2_10,,,,,,,,,,,,,
Channel,Datatype,Unit,Length,Minimum,Maximum,Description,NI_ChannelName,NI_UnitDescription,wf_increment,wf_samples,wf_start_offset,wf_start_time,Start Index
Dev1/ai0,DT_DOUBLE,Volts,500000,,,,Dev1/ai0,Volts,1E-05,1,0,02/22/2021 05:15:48.617 PM,
Dev1/ai1,DT_DOUBLE,Volts,500000,,,,Dev1/ai1,Volts,1E-05,1,0,02/22/2021 05:15:48.617 PM,
Dev1/ai2,DT_DOUBLE,Volts,500000,,,,Dev1/ai2,Volts,1E-05,1,0,02/22/2021 05:15:48.617 PM,
Dev1/ai3,DT_DOUBLE,Volts,500000,,,,Dev1/ai3,Volts,1E-05,1,0,02/22/2021 05:15:48.617 PM,
Dev1/ai4,DT_DOUBLE,Volts,500000,,,,Dev1/ai4,Volts,1E-05,1,0,02/22/2021 05:15:48.617 PM,
,,,,,,,,,,,,,
QPD_CAL_X_250_2_10,,,,,,,,,,,,,
